baseline,n,median_spearman,mean_spearman,median_null,median_pearson_r,median_random_r
Rest->Stim8hr,1403,0.22457631239425443,0.24008919351878874,0.012397250215588254,,
Stim8hr->Stim48hr,1417,0.2104885455596913,0.22423690655946796,0.01211521393086171,,
Rest->Stim48hr,1245,0.19492898287395477,0.20549802559044844,0.007651087643683155,,
cond-mean Rest,1962,0.09853082573674946,0.09343517750485396,,,
cond-mean Stim8hr,2130,0.11773092149561767,0.119642072140236,,,
cond-mean Stim48hr,2027,0.14810277315359932,0.13009489639950128,,,
K562->CD4 Rest,1880,,,,0.3030319288239651,0.004595143472381817
K562->CD4 Stim8hr,1880,,,,0.3147273016977544,0.0039189039844105995
K562->CD4 Stim48hr,1880,,,,0.3116998885088154,0.004411812665785249
